商品名称,店铺,评论数,价格
【全新正品】Apple苹果 iPhone12 Pro max 5G手机全网通（12期免息可选） 海蓝色 512GB（期免息）,千瑞达手机旗舰店,11,13998.00
苹果Apple iPhone 11 Pro Max 手机全网通智能手机 暗夜绿色 512GB,OKSJ手机旗舰店,2000+,10888.00
"拍拍
【二手99新】Apple iPhone12mini 苹果12mini 5G官方在保 全网通 黑色 128G 全网通",爱相随二手商品专营店,14,5199.00
Apple苹果11 promax 手机 iPhone11Promax 双卡双待【白条24期免息可选】 金色 64GB（白条期免息）,微炫数码旗舰店,200+,8489.00
【全新正品】Apple 苹果iPhone7（A1660）全网通4G手机 磨砂黑 官方标配 128G 【期免息版】,千瑞达手机旗舰店,2000+,3399.00
品飞【带标】苹果12手机壳Magsafe磁吸12promax皮革全包12pro液态硅胶mini保护套 带标真皮植绒【花菱草】支持magsafe 12/12pro（通用）,天骏手机配件专营店,2000+,88.00
"京东超市
朗客 苹果11手机壳iPhone11镜头全包保护套透明防摔超薄软壳男女潮6.1英寸【苹果11秒变经典直边款】星空黑",朗客京东自营旗舰店,2000+,19.90
Apple苹果iPhone 11 Pro 小屏 手机 双卡双待 金色 256GB,四川移动京东自营旗舰店,2,8799.00
Apple苹果iPhone 11 Pro Max大屏手机 双卡双待 银色 256GB,四川移动京东自营旗舰店,4,9899.00
"拍拍
【二手99新】Apple苹果 iPhone 12 移动联通电信5G双卡双待手机 白色 64GB 全网通",零一店二手商品专营店,100+,5549.00
"京东超市
【1月顶配】ZNNCO Air苹果无线蓝牙耳机适用iPhone7/8p/Xs/11pro华强北二代 【二代1:1】秒弹窗+三真电量+入耳检测+开盖反磁",ZNNCO京东自营旗舰店,2000+,128.00
"拍拍
【准新机】Apple苹果 iPhone 12 (A2404) 支持移动联通电信5G 双卡双待手机 绿色+无线充 128GB（在保220天以上）",无忧二手手机专营店,86,6249.00
【现货国行-6699元起-可分期】Apple 苹果 iPhone 11Pro 手机 深空灰色 全网通(64GB),明日数码旗舰店,3000+,6699.00
图拉斯苹果数据线手机快充USB充电器线iPhone12/6/7/8Plus/X/XR/11/iPad 1.68米【快不伤机丨耐用不弹窗】,图拉斯旗舰店,4000+,48.00
Apple iPhone苹果12 mini【12期免息可选】5G全网通 黑色 128G（12期分期免息）,京联通达旗舰店,200+,6299.00
Smorss【贴坏包赔】苹果12ProMax防窥钢化膜 iPhone12ProMax手机膜 全屏覆盖360度防偷看屏全方位防窥保护膜,Smorss京东自营旗舰店,2万+,45.90
毕亚兹 苹果快充套装PD充电器18W充电头数据线适用/XR/11Pro/XS手机 Type-C转Lightning苹果闪充,毕亚兹(BIAZE)京东自营旗舰店,3万+,69.00
"京东超市
【顶配版】MR.G Air真无线蓝牙耳机苹果12华为小米iPhone11适用双耳运动华强北二代洛达 改名定位+顶配音质+入耳检测+秒弹窗配对 2021年2代顶配旗舰版",MR.G京东自营官方旗舰店,700+,138.00
Apple/苹果iPhone11(A2223)国行全新正品手机 黑色（碎屏险套装） 全网通128GB（期免息）,京合旗舰店,2000+,5649.00
英悦iPhoneX苹果XR手机壳X直边XS Max秒变12直边直角边方形全包液态硅胶改耐克网红潮女套 苹果X/XS【珍珠白】SGS认证原料+钢化膜,英悦手机配件旗舰店,2000+,19.80
"拍拍
【二手99新】Apple/苹果 iPhone 12 MINI 苹果 12mini 国行 原装二手手机 白色 128G",爱乐优二手商品专营店,100+,5249.00
Apple 苹果iphoneSE手机分期 黑色 128G（12期免息）,京联通达旗舰店,500+,4099.00
"京东超市
罗马仕 CB12B苹果数据线充电线手机2.4a快充充电器线iPhone11Pro Max/Xs/XR/8/7plus/6/ipad 红黑色 1米",罗马仕京东自营旗舰店,4000+,13.90
"京东超市
科沃 【买一送一】苹果数据线手机快充充电器线头iphone12Pro/Xs Max/XR/8/7/plus/mini USB电源线 2米",科沃（KOVOL）京东自营旗舰店,7000+,21.90
Apple 苹果 iPhone 11 Pro 移动联通电信4G手机 双卡双待 金色 64GB,茄子手机旗舰店,1000+,6349.00
Apple 苹果 iPhone7全网通 4G智能手机 磨砂黑 全网通128G【12期免息】,OKSJ手机旗舰店,700+,3399.00
Apple 苹果 iPhoneXR (A2108) 全网通移动联通电信4G手机双卡双待 黑色 128G【新包装无耳机+速充头】,银河信业手机专营店,600+,4699.00
Apple苹果11pro 手机 小屏幕智能手机 双卡双待 4G手机【白条24期免息可选】 金色 64GB（白条24期免息套装）,微炫数码旗舰店,100+,8288.90
Apple 苹果 iPhone 11 Pro Max 手机 金色 全网通 256G,冰之凯盛手机旗舰店,700+,9699.00
苹果（Apple） 苹果AirPods Pro 主动降噪无线蓝牙耳机 支持iPhone12/iPad 官方标配,佳沪平板电脑专营店,1万+,1539.00
Apple 苹果11/iPhone11【白条12/24期免息】AI拍照苹果手机 黑色 全网通128GB（白条期免息）,olj欧霖爵手机旗舰店,400+,5799.00
哒尚 潮牌日系标签苹果11/XS/SE2手机壳iphone7PLUS/6透明软壳12/8/XR男女款 【京都车票】透明软壳 苹果11 6.1寸,哒尚旗舰店,48,18.00
Apple iPhone苹果12 pro【12期免息可选】5G全网通 石墨色 128G（原装20w充电装+碎屏宝一年）,京联通达旗舰店,60,8689.00
现货速发 苹果 手机 AppleiPhone 11Pro 暗夜绿色 256GB,臻火旗舰店,800+,8599.00
"拍拍
【准新机】Apple iPhone 12Pro苹果12Pro 全网通5G版 官方在保 海蓝色 256G 全网通",无忧二手手机专营店,0,8799.00
Apple 苹果 iPhone 12 (A2404) 5G全网通手机 【白条24期分期免息】 绿色 64G（24期免息）,牧申手机旗舰店,28,7699.00
美国TGVI'S苹果12mini/11ProMax钢化膜全屏覆盖手机康宁大猩猩iPhoneXR/Xs 高清版- 11/XR,TGVI'S手机配件旗舰店,2000+,85.00
苹果Apple iPhone11Pro 手机【老包装内置原厂耳机+速充头】 暗夜绿色 256GB,银河信业手机专营店,300+,8399.00
Apple 苹果7/苹果11 4G智能手机 银色 官方标配 128GB,明日数码旗舰店,900+,3098.00
Apple 苹果 iPhone Xs 手机 深空灰色 全网通 64G,冰之凯盛手机旗舰店,200+,4939.00
"拍拍
【二手99新】Apple iPhone 12 Pro Max A14 全网通5G 国行 二手手机 石墨色 128G（送20W快充）",机淘淘二手商品专营店,8,8698.00
Apple 苹果 iphone Xs Max 手机 深空灰 全网通 256G,冰之凯盛手机旗舰店,300+,7899.00
苹果Apple iPhone7全网通4G版单卡智能手机苹果7 金色 128G,莫拉克手机专营店,100+,2969.00
Apple 苹果 iPhone 11Pro 手机 金色 全网通 256G,冰之凯盛手机旗舰店,300+,8459.00
Apple 苹果 iPhone XR 手机 现货速发 黑色 6+64G全网通简装（2年电池换新1年延保1年碎）,冰之凯盛手机旗舰店,1000+,4288.00
"拍拍
【二手95新】Apple iPhone 11 (A2223) 苹果11双卡双待 二手手机 绿色 128G全网通苹果 期免息",京粉二手手机专营店,5000+,4679.00
【白条24期免息】Apple 苹果 iPhone 11 手机 黑色 全网通128G（24期分期新包装）,疆界互联旗舰店,700+,6299.00
"拍拍
【准新机】Apple苹果 iPhone 12 移动联通电信5G双卡双待手机 蓝色（在保260天以上） 64G全网通5G+送无线充",小象严选二手商品专营店,6,5475.00
Apple iPhone 12 Pro Max (A2412) 5G手机 全网通苹果手机 海蓝色 256GB,联通华盛手机旗舰店,100+,10099.00
"京东超市
倍思 苹果快充PD20W超迷你充电器白+Type-c转Lightning快充20W黑2米 适用12/11ProXSMax手机套装",倍思（Baseus）京东自营旗舰店,2000+,81.00
"京东超市
苹果（Apple） 新款AirPods2代真无线蓝牙耳机 支持iPhone12Pro Max AirPods2（标准版） 标配",APPLE翔合专卖店,20万+,968.00
"京东超市
阿迪达斯（adidas) 苹果iPhone12ProMax手机壳保护套6.7英寸 防滑防摔可无线充电 经典三叶草-闪亮中国红",adidas手机配件京东自营旗舰店,24,149.00
"拍拍
【准新机】Apple iPhone 苹果12 mini 手机 二手手机 支持移动联通电信5G 黑色+送无线充 128G全网通（官方在保）",小象严选二手商品专营店,12,5089.00
Apple苹果iphone11 双卡双待4G手机 新包装 分期免息 黑色 全网通 128GB 白条期分期免息,一佳手机专营店,85,5699.00
苹果(Apple) iPhone SE 手机 支持【白条分期】 红色 全网通 128G,冰之凯盛手机旗舰店,600+,3799.00
【现货国行-】Apple 苹果 iPhone11 Pro 手机 深空灰色 全网通64GB,鹏瑶旗舰店,700+,6449.00
【白条12期分期免息】Apple 苹果 iPhone SE 二代 手机 全网通 黑色 128GB（12期免息）,京东电竞手机官方旗舰店,200+,4099.00
Apple iPhone 12 Pro Max 全网通 大屏三摄长续航5G国行双卡双待手机 海蓝色 256G,天咖旗舰店,92,10599.00
Apple 苹果iPhone XS Max 全新国行手机全网通未激活未拆封 深空灰色 全网通256G,爱优创杰手机旗舰店,100+,8599.00
【白条24期免息】Apple 苹果 iPhone 11Pro 手机 暗夜绿色 256G 全网通,佳沪电商旗舰店,400+,10588.00
HJfulle 蓝牙耳机适用于苹果华为无线双耳iphone12降噪11pro三代入耳式3代华强北 【顶配版】杜比全景音质全功能+白色套+数据线 官方标配,HJfulle官方旗舰店,84,199.00
"拍拍
【准新机】Apple iPhone12 Pro Max(A2412)苹果12ProMax 海蓝色+无线充 256G全网通（5G（在保260天以上））",小象严选二手商品专营店,2,9269.00
"拍拍
【二手9成新】【白条6/12期免息】苹果（Apple）iPhone 7二手手机国行全网通 32G 6期免息 默认黑色其他颜色备注或联系客服",和初二手商品专营店,500+,999.00
【退换无忧/现货当天发/老包装】Apple 苹果 iPhone 11 全网通4G手机 白色 全网通128GB（期免息）,天域手机专营店,300+,6258.00
Apple iPhone 11 苹果(A2223) 移动联通电信4G手机 双卡双待 黑色 128GB 新包装,爱优创杰手机旗舰店,58,5099.00
Apple 苹果 iPhone 11 (A2223) 移动联通电信4G手机 双卡双待 紫色 128G,久汇通手机旗舰店,56,5199.00
【全新国行原封未激活】Apple/苹果 iPhone XR移动联通电信4G全网通手机 双卡双待全新机 白色 128GB+原装20W充头,湘桂发手机专营店,6,5299.00
Apple iPhone11 Pro 苹果手机全网通（部分12期免息可选） 金色 64GB（12期免息）,联通华盛手机旗舰店,11,7555.00
【现货国行】Apple 苹果 iPhone11 Pro max 手机 双卡双待 金色 全网通64G,鹏瑶旗舰店,500+,7299.00
【现货速发】Apple 苹果 iPhone 11 手机 黑色 全网通 256G,岗隆手机专营店,42,6199.00
"拍拍
【二手99新】苹果xsmax 二手手机 Apple iPhone xsmax 【分期免息 0首付】 银色 全网通 64G【分期期免息】",好采机二手商品专营店,1000+,4099.00
Apple 苹果iPhone 11 Pro手机 金色 256GB,宏图手机专营店,300+,8349.00
"拍拍
【二手99新】Apple iPhone 12Pro苹果12Pro 5G版双卡双待 官方在保 海蓝色 256G 全网通",爱相随二手商品专营店,8,8599.00
"拍拍
【二手99成新】苹果11二手手机 Apple iPhone 11 【白条分期免息 0首付】 红色 256G全网通(白条期免息)",好采机二手商品专营店,800+,5099.00
"拍拍
【二手99新】苹果11 二手苹果手机 Apple iPhone 11 二手手机 黑色 128G 12期白条分期0首付",真不同二手商品专营店,1000+,4699.00
"拍拍
【二手99新】Apple iPhone12ProMax苹果12ProMax 5G官方在保 海蓝色（赠20W PD快充） 256G 全网通",华语二手商品专营店,35,9299.00
苹果Apple iPhone11手机 【老包装】内置原厂速充头/耳机 (性价比高) 黄色【老包装】内置原厂速充头/耳机 64GB,银河信业手机专营店,100+,4599.00
Apple 苹果 iPhone 12Pro Max (A2412) 移动联通电信5G 双卡双待手机 金色 128GB,天域手机专营店,20,9718.00
Apple/苹果 iPhone 7全网通手机【分期免息 0首付】 现货速发 黑色 全网通 128G,冰之凯盛手机旗舰店,200+,2999.00
"拍拍
【二手99成新】Apple iPhone 11 苹果11二手苹果手机 黑色 128G全网通【白条期免息】",缘翼优品二手商品专营店,1000+,4459.00
苹果Apple iPhone 11 Pro【京东白条分期套餐0首付3期免息】全网通手机 双卡双待 金色 256GB,豫穆手机专营店,74,8999.00
Apple AirPods2代 苹果无线蓝牙耳机二代入耳式 手机耳机iPhone12 Pro Max 【标配版】,利特范旗舰店,1万+,899.00
"拍拍
【二手95新】Apple iPhone 11 (A2223) 苹果11双卡双待全面屏游戏 二手手机 黄色 64G 全网通苹果 期免息",抖机优品二手手机专营店,1000+,4399.00
[广东移动合约机]Apple 苹果 iPhone 12mini 全网通5G手机 HFQ36 289元及以下套餐升档389元套餐36个月合约价 128G,中国移动手机官方旗舰店,1,3599.00
