商品名称,地址,介绍,标签,总价（万元）,每平米价格（元）
日光里 2室1厅 南 北,日光里 - 鸿顺里街,2室1厅 | 69.44平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",150,21602
保利南区 满五唯一 无抵押 武清区政府旁边,保利上河雅苑南区 - 保利金街,2室1厅 | 81.9平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,"VR看装修,房本满五年,随时看房",154,18804
海运里 2室  采光好 视野好  小区环境安逸,海运里 - 大营门,2室1厅 | 59.37平米 | 南 西 | 精装 | 高楼层(共7层)  | 板楼,"VR看装修,房本满五年,随时看房",196.5,33098
程林里非顶楼，格局方正南北双台 采光好看房方便,程林里 - 上杭路,2室1厅 | 66.55平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,"VR看装修,房本满五年,随时看房",126.8,19054
隆达新苑 私产 采光好，视野开阔 房型方正无浪费。,隆达新苑 - 江都路,2室1厅 | 70.06平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,"VR看装修,房本满两年,随时看房",139.6,19926
此房是私产房，方便客户贷款。户型朝南，采光好。,盈江东里 - 王顶堤,1室1厅 | 37.69平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",99,26267
此房为业主精装修，通透户型，可拎包入住,华润橡树湾香润轩 - 华明镇,1室1厅 | 58.06平米 | 南 | 精装 | 中楼层(共10层)  | 板楼,"VR看装修,房本满两年,随时看房",85,14641
红树湾花园 2室2厅 南,红树湾花园 - 中新生态城,2室2厅 | 93.74平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,"VR看装修,房本满五年,随时看房",149,15896
此房为私产，南北通透格局好，采光好，交通便利，,十三经路2号 - 大王庄,2室1厅 | 57.2平米 | 北 南 | 精装 | 高楼层(共6层)  | 暂无数据,"VR看装修,房本满两年,随时看房",122,21329
新居祥，南向，大阳台，采光充足，精装修,居祥里 - 水上公园街,1室1厅 | 48.55平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,"近地铁,VR房源,房本满两年,随时看房",132.5,27292
电梯洋房 有钥匙 满五年 配套齐全,五一阳光御园 - 中信广场,3室2厅 | 128.22平米 | 南 北 | 毛坯 | 7层  | 板楼,"VR看装修,房本满五年,随时看房",232,18094
美丽心殿，新上两室，砖楼，私产可贷款，精装修,美丽心殿 - 王顶堤,2室1厅 | 76.03平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",199,26174
云龙里私产两室，精装修，南北通透，可贷款。,云龙里 - 嘉陵道街,2室1厅 | 65.8平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",143,21733
南开区 水滴旁 近公园 电梯洋房,金合园 - 体育中心街,2室1厅 | 90.35平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,"VR看装修,房本满五年,随时看房",216,23908
伴山人家 南北通透 H户型 全明格局 低楼层 业主诚售,伴山人家 - 工农村,2室2厅 | 94.29平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,"VR看装修,房本满五年,随时看房",125,13257
私产可贷款 卫东路 业主诚意出售,谊景村 - 友谊路,1室1厅 | 43.18平米 | 西北 | 简装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",105,24317
宜川北里超好的户型南北通透两室夹明厅中间楼层,宜川北里 - 长虹街,2室1厅 | 63.27平米 | 东 南 北 | 简装 | 中楼层(共7层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",188.5,29793
久华里 通透一室带阁楼西面有窗户视野开阔看房方便,久华里 - 华苑,2室1厅 | 67.24平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,"VR房源,房本满五年,随时看房",193,28704
静湖西区 ，三居精装 中间楼层,静湖花园西区 - 静湖,3室2厅 | 101.6平米 | 南 | 简装 | 中楼层(共6层)  | 塔楼,"VR看装修,房本满两年,随时看房",106,10434
私产  业主诚意出售   价钱能谈   采光好,新景安里 - 大王庄,1室1厅 | 42.7平米 | 东 南 | 简装 | 中楼层(共7层)  | 板楼,"VR看装修,房本满五年,随时看房",96,22483
鲲玉园 全阳两居室 配套齐全 交通方便,鲲玉园 - 中新生态城,2室1厅 | 93.35平米 | 南 | 简装 | 高楼层(共21层)  | 板楼,"VR看装修,房本满五年,随时看房",117,12534
简单装修，两室通厅  方便二次装修,地球村 - 大港,2室2厅 | 89.57平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 板塔结合,"VR看装修,房本满两年,随时看房",91,10160
楼层好  采光充足  看房方便，业主诚心出售。,淮盛园 - 宜兴埠,2室1厅 | 86.98平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房",147,16901
泰达金色领地通透两室  小区环境好,泰达金色领地 - 潮阳大道,2室2厅 | 92.68平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,"VR房源,房本满五年,随时看房",108,11653
二大街，交通方便，门口位置，看房方便,嘉誉新城 - 向阳街,2室1厅 | 94.14平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,"VR看装修,房本满五年,随时看房",119,12641
凯兴新登记房源，价位低，新小区，通透户型，看房方便,凯兴天宝公寓 - 广开街,2室1厅 | 96.59平米 | 东 西 | 精装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",339,35097
带长期租户 看房方便 近步行街 超市,四化里 - 大港,2室1厅 | 43.16平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,"VR看装修,房本满两年,随时看房",33,7646
通透户型，装修房，老证 无尾款 生活方便,花溪畔 - 静湖,2室2厅 | 92.52平米 | 南 | 毛坯 | 低楼层(共15层)  | 板楼,"VR看装修,房本满两年,随时看房",95,10269
低楼层两室 上海道  南北通透 诚心卖,静安里(河西区) - 桃园街,2室1厅 | 56.07平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",258,46014
东丽湖洋房，精装修，南北边户型，视野开阔,米兰东湖湾 - 东丽湖,2室1厅 | 85.91平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,"VR房源,房本满五年,随时看房",84,9778
塘沽一幼旁 新港大街 两室南北通透户型有钥匙诚心卖,新港大街 - 新村街,2室1厅 | 57.52平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",113,19646
格调绮园小区 房龄新 环境好 舒适 出行购物方便,格调绮园 - 尖山,3室2厅 | 103.55平米 | 南 北 | 毛坯 | 10层  | 板塔结合,"VR看装修,房本满两年,随时看房",269,25978
5月小长假看房方便，大胆给价万全有座位,福方里 - 南市,1室1厅 | 43.2平米 | 西 | 简装 | 中楼层(共5层)  | 板楼,"VR看装修,房本满两年,随时看房",240,55556
精装修 楼层好 采光充足 视野好 看房方便,秋瑞家园 - 瑞景居住区,2室1厅 | 94.97平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,"VR看装修,房本满五年,随时看房",145,15268
金融街融汇 全阳户型 过两年 采光好 环境优美,金融街融汇 - 张家窝,2室1厅 | 72.05平米 | 南 | 精装 | 低楼层(共25层)  | 板塔结合,"VR看装修,房本满两年,随时看房",131,18182
南北通透 视野开阔 好位置 低楼层 看房方便,莹华里 - 华苑,2室1厅 | 69.8平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",237,33955
店长推荐，花园位置，前排无遮挡，满五唯一,天华里 - 华苑,2室1厅 | 76.67平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",262,34173
小两室低楼层，简单装修，社区配套成熟，交通便利,民兴园 - 双港,2室1厅 | 77.14平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,"VR看装修,房本满五年,随时看房",99,12834
蒲瑞祥园东区 全新精装修 带地下室 车位充足 采光好,蒲瑞祥园东区 - 武清其它,2室2厅 | 96.68平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,"VR看装修,房本满两年,随时看房",137.5,14223
出行方便 户型方正 视野开阔 采光充足 交通便利,新城家园 - 新港,2室1厅 | 70.57平米 | 东南 | 简装 | 高楼层(共34层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",97.9,13873
房源位置在小区西门处，出行方便，好楼层。,社会山Bigparty - 张家窝,3室2厅 | 92.73平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,"VR看装修,房本满两年,随时看房",181,19520
房子南北通透 采光好 二楼带电梯 业主诚心出售,宝境栖园 - 海滨,2室1厅 | 85.28平米 | 南 北 | 简装 | 低楼层(共10层)  | 板塔结合,"VR看装修,房本满五年,随时看房",92,10788
双台户型·南北通透·业主诚意出售,纯真里 - 友谊路,2室1厅 | 86.63平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",209,24126
天津市滨海新区塘沽河北路向阳西邻村一室出售,西邻村 - 向阳街,1室1厅 | 42.4平米 | 东南 | 简装 | 高楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",49,11557
金地格林棕榈苑此房视野比较宽阔，交通便利，配套齐全,金地格林世界棕榈苑D区 - 双港,2室1厅 | 88.07平米 | 东南 | 精装 | 中楼层(共30层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房",160,18168
此房满五唯一，税费低，精装，阳面一室，出行购物方便,金狮家园 - 望海楼,1室1厅 | 47.11平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,"VR房源,房本满五年,随时看房",134,28445
红桥区，满二年悦春里，业主诚售，价格可谈 中间楼层,悦春里 - 双环邨,1室1厅 | 50.88平米 | 南 | 简装 | 中楼层(共17层)  | 板楼,"VR看装修,房本满两年,随时看房",74,14545
3楼低楼层，马场道学片，私产过五年，拎包入住,元兴新里 - 桃园街,1室1厅 | 35.79平米 | 东 | 精装 | 中楼层(共8层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",125,34926
善安里低楼层 阳面大一居 采光无挡  户型格局好利用,善安里 - 光复道,1室1厅 | 50.59平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,"VR房源,房本满五年,随时看房",132,26093
南开电梯房 南向采光好 地段繁华 新小区,兴业家园 - 万兴街,1室1厅 | 44.65平米 | 南 | 毛坯 | 中楼层(共28层)  | 板楼,"VR看装修,房本满两年,随时看房",143,32027
南北向，好采光低楼层，宽敞大两室，小区中间位置,罗江西里 - 嘉陵道街,2室1厅 | 36.3平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,"近地铁,VR房源,房本满五年,随时看房",118,32507
龙吉园 2室1厅 南 北,龙吉园 - 下朱庄,2室1厅 | 96.83平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,"VR房源,房本满五年,随时看房",143,14769
海上国际城   两室两厅   精装修没咋住过  诚意出售,海上国际城 - 华明镇,2室2厅 | 100.41平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,"VR看装修,房本满两年,随时看房",131.5,13097
曲溪中里 满五唯一 中间楼层 可贷款 诚意出售,曲溪中里 - 万新村,1室1厅 | 34.27平米 | 西 | 简装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",72,21010
城市之星小区 楼层好 私产过五年且唯一 价格可议,城市之星大厦 - 春华街,1室1厅 | 38.72平米 | 西南 | 简装 | 中楼层(共17层)  | 板楼,"近地铁,VR房源,房本满五年,随时看房",73,18854
昔阳南里，配套齐全，业主诚心出售,昔阳南里 - 向阳路,2室1厅 | 74.89平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,"VR房源,房本满五年,随时看房",190,25371
河北区户籍 满五唯一 4楼 2003年社区 急售急售,泉江里 - 月牙河,1室1厅 | 47.62平米 | 西 南 | 精装 | 中楼层(共6层)  | 板塔结合,"VR看装修,房本满五年,随时看房",76,15960
此房楼层好 视野宽阔 采光充足 配套齐全,天鹅湖1号 - 武清其它,2室1厅 | 92.2平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,"VR看装修,房本满两年,随时看房",128,13883
华城景苑盛和嘉园 1室1厅 南,华城景苑盛和嘉园 - 西营门,1室1厅 | 66.28平米 | 南 | 毛坯 | 25层  | 板塔结合,"VR看装修,房本满两年,随时看房",90,13579
昔阳南里，配套齐全，业主诚心出售,昔阳南里 - 向阳路,2室1厅 | 74.89平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,"VR房源,房本满五年,随时看房",190,25371
如皋里四楼有装修诚意卖随时看房,如皋里 - 江都路,1室1厅 | 35平米 | 东北 | 简装 | 中楼层(共5层)  | 板楼,"VR房源,房本满五年,随时看房",73,20858
祥和里，楼层好，视野开阔，采光充足，配套齐全,祥和里 - 越秀路,1室1厅 | 34.73平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,"近地铁,VR房源,房本满五年,随时看房",185,53269
产权清晰 户型方正 交通便利  老证,龙吉园 - 下朱庄,2室2厅 | 84.74平米 | 南 | 简装 | 低楼层(共11层)  | 板楼,"VR看装修,房本满五年,随时看房",112,13217
彩霞里 卫生间大 近地铁站！精装修！,彩霞里 - 向阳路,2室0厅 | 42.47平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,"VR房源,房本满五年,随时看房",155,36497
保利溪湖林语，央企保利开发，保利自持物业,逸林苑 - 南湖,2室1厅 | 85.98平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,"VR看装修,房本满两年,随时看房",110,12794
一手房 采光好 小区楼下就是地铁站,秋晨家园 - 宜兴埠,1室1厅 | 55.3平米 | 南 | 简装 | 高楼层(共24层)  | 板楼,"VR房源,房本满五年,随时看房",88,15914
河东区  东瑞家园 阳面一室  采光好 精装修,东瑞家园 - 真理道,1室1厅 | 46.54平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,"VR看装修,房本满两年,随时看房",87,18694
本房为两室一厅全阳户型，采光足。,津门及第 - 武清其它,2室1厅 | 86.88平米 | 南 | 毛坯 | 中楼层(共19层)  | 板楼,"VR看装修,房本满五年,随时看房",60,6907
南开区雅园里5楼阳面不到顶私产过两年咸阳路,雅园里 - 长虹街,1室1厅 | 35.08平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满两年,随时看房",138,39339
此房满五唯一 低楼层 出行方便 全明户型 阳面 采光好,荣居园 - 北仓镇,1室1厅 | 61.46平米 | 南 | 毛坯 | 低楼层(共24层)  | 塔楼,"VR看装修,房本满两年,随时看房",81,13180
河东私产房 低总价2008年 电梯房 带装修,东瑞家园 - 真理道,2室1厅 | 60.82平米 | 南 西 | 简装 | 高楼层(共32层)  | 板塔结合,"VR看装修,房本满两年,随时看房",108,17758
急卖 雅园里 一室 非顶楼 配套齐 可直接入住,雅园里 - 长虹街,1室1厅 | 40.73平米 | 西南 | 精装 | 高楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房",137,33637
乐至里 1楼1室 私产 满五唯一税费低 看房方便 精装修,乐至里 - 嘉陵道街,1室1厅 | 44.5平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",127,28540
瑞景居住区，阳面一居，精装修，三楼价格合适，钥匙房,奥林匹克花园石榴苑 - 瑞景居住区,1室1厅 | 50.11平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,"VR看装修,房本满五年,随时看房",120,23948
私产房，田字格户型，业主诚心出售，看房方便！,三潭东里 - 万兴街,1室1厅 | 42.64平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,"VR房源,房本满两年,随时看房",139,32599
双安里一楼，无违建房主急售，看房方便..,双安里 - 大港,1室1厅 | 39.44平米 | 南 | 其他 | 低楼层(共4层)  | 板楼,"VR看装修,房本满五年,随时看房",36.5,9255
此房满两年，阳面，不到顶，适合居住,集园里 - 向阳路,1室1厅 | 35.14平米 | 南 | 简装 | 中楼层(共5层)  | 塔楼,"VR房源,房本满两年,随时看房",101.9,28999
康桥里阳面一居 满五唯一 业主诚意出售,康桥里 - 建昌道,1室1厅 | 45.44平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",87.5,19257
此房满五年，中间楼层，总价低，业主诚心卖,金谷园（南开区） - 体育中心街,1室1厅 | 44.61平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",132,29590
连心里1室1厅5楼阳面精装私产过五年急售,连心里 - 向阳路,1室1厅 | 36.94平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,"VR看装修,房本满五年,随时看房",133,36005
私产满五唯一 南北通透户型方正，价格可以商量,冬云里 - 向阳路,1室1厅 | 47.38平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",89.8,18954
精装修，有钥匙，湘江道，私产过两年，随时签约,南华里 - 下瓦房,1室1厅 | 37.09平米 | 东 | 精装 | 高楼层(共7层)  | 板楼,"近地铁,VR房源,房本满两年,随时看房",154,41521
风貌里二楼，位置好，不临街，业主诚意出售，南北通透,风貌里小区 - 丁字沽街,2室1厅 | 68平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",185,27206
精装！全新家电全留下！川北中间楼层 大面积,川北里 - 嘉陵道街,2室1厅 | 73.94平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",186,25156
福山里 1室1厅 南,福山里 - 张贵庄,1室1厅 | 33.38平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,"VR房源,房本满五年,随时看房",69,20672
金泰新村 1室1厅 东,金泰新村 - 解放路,1室1厅 | 43平米 | 东 | 简装 | 高楼层(共7层)  | 板楼,VR看装修,83,19303
崇安里 2室1厅 东 西,崇安里 - 新村街,2室1厅 | 71.24平米 | 东 西 | 简装 | 中楼层(共6层)  | 板楼,VR看装修,160,22460
世茂璀璨公园洋房带一个车位无遮挡采光好,世茂璀璨公园 - 咸水沽,3室2厅 | 142.49平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板塔结合,VR看装修,246,17265
龙都商品院大面积三室 户型佳采光好,龙都花园 - 挂甲寺,3室1厅 | 102.02平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,VR看装修,392,38424
体北紫金南里 全阳两室 私产过五年 采光好 诚意出售,紫金南里 - 天塔街,2室1厅 | 57.27平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,"近地铁,VR看装修",145,25319
房子精装修，出行方便，位置好，业主诚意出售,丽霞里 - 钢管公司,1室1厅 | 49.5平米 | 南 | 其他 | 中楼层(共22层)  | 板楼,VR看装修,41.9,8465
此房满五唯一 私产 采光好 无遮挡 价位合适,城垣里 - 王串场,1室1厅 | 41.05平米 | 南 | 简装 | 低楼层(共4层)  | 板楼,VR看装修,86,20951
容彩里 1室1厅 北,容彩里 - 王串场,1室1厅 | 41.65平米 | 北 | 简装 | 中楼层(共6层)  | 板楼,VR房源,72,17287
丽新里 南北通透 业主诚意出售 楼层好,丽新里 - 新立街,2室1厅 | 68平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,"近地铁,VR看装修",103,15148
水上公园 一楼精装南北两室 前后花园 拎包入住,观景里 - 水上公园街,2室1厅 | 73.94平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,"近地铁,VR看装修",245,33135
一室， 蓝庭国际，自持物业，交通便利，配套齐全,蓝庭国际 - 新立街,1室1厅 | 35.44平米 | 西南 | 简装 | 高楼层(共8层)  | 板楼,VR房源,57.9,16338
南北通透 中间楼层 采光充足 交通便利,滨慧花园（远洋城3期） - 胡家园,3室2厅 | 122.13平米 | 南 北 | 简装 | 低楼层(共34层)  | 板楼,"VR看装修,房本满五年",134.5,11013
龙庭轩 两室 通透户型 总房款低,众河龙亭苑 - 宝坻其他东,2室1厅 | 88.16平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满两年",34,3857
通透三居室 户型方正 采光充足 出行方便,越秀园西区 - 下朱庄,3室2厅 | 121.17平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,"VR看装修,房本满两年",122,10069
精装修保持好，客厅落地窗户视野采光好，业主诚意售,心贻湾 - 工农村,3室1厅 | 117.08平米 | 东南 | 精装 | 低楼层(共32层)  | 板塔结合,"VR看装修,房本满五年",146,12471
南北通透三居室，老证，空户，尾款自清,金侨大道 - 武清其它,3室1厅 | 101.92平米 | 南 北 | 简装 | 低楼层(共18层)  | 塔楼,"VR看装修,房本满两年",121,11873
"南开市区一楼三室房,有地铁三六号线,精装修,拎包入住",科海里 - 水上公园街,3室1厅 | 73.91平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,"近地铁,VR房源,房本满五年",265,35855
此房婚房精装修，南北通透，采光好。婚房精装修。,学仕府花园 - 汉沽,3室1厅 | 109.07平米 | 南 北 | 精装 | 中楼层(共27层)  | 板塔结合,"VR看装修,房本满两年",115,10544
户型方正，格局分布合理，电梯洋房一梯两户,万科水晶城凭澜园 - 梅江,3室2厅 | 139.1平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,"VR看装修,房本满五年",468,33645
世茂璟苑别墅，硬装已经做完了，带南侧小院,世茂璟苑 - 中新生态城,3室2厅 | 132.28平米 | 南 北 | 简装 | 4层  | 板楼 | 联排别墅 ,"VR房源,房本满两年",270,20412
武清城际站旁，精装修跃层。房子老证，无尾款,经纬城市绿洲华清家园 - 佛罗伦萨,3室2厅 | 101.37平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,"VR房源,房本满五年",175,17264
此房满五唯一，总价低，楼层好，采光充足,天宝华苑 - 南关大街,3室2厅 | 115.82平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,"VR看装修,房本满两年",88,7598
房主自己是做装修的，房子可漂亮了，用的都是好材料,塞纳世家 - 怡购,2室1厅 | 89.59平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,"VR看装修,房本满两年",120,13395
小三室，此房满五年，南北通透，光线充足,光明东里 - 咸水沽,3室2厅 | 80平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,"VR看装修,房本满五年",80,10000
满5年，三室偏单，3楼低层，居住便利，价格可议,六合里(大港区) - 大港,3室1厅 | 70.67平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,"VR看装修,房本满五年",59,8349
贻景花园 精装修 南北通透H户型 中间楼层 诚心出售,贻景花园 - 工农村,2室2厅 | 110.5平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,"VR房源,房本满五年",128,11584
星河荣御一期 小三室 精装修 中间楼层 看房提前预约,香逸园 - 大港,3室1厅 | 92.91平米 | 南 北 | 精装 | 中楼层(共9层)  | 板塔结合,"VR看装修,房本满两年",140,15069
天宝华苑低楼层城中 心位置户型好111平26平地下室,天宝华苑 - 南关大街,3室2厅 | 137.81平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,"VR看装修,房本满五年",90,6531
好楼层好位置。房主诚意售卖...........,兴旺里(大港区) - 大港,2室1厅 | 114.66平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,"VR看装修,房本满五年",145,12647
学湖里 低楼层 精装修 南北向 一楼带院子,学湖里 - 学府街,2室1厅 | 88.51平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,"VR看装修,房本满五年",378,42708
合安园新房，精装修，拎包入住，出行方便，,富力又一城 - 咸水沽,3室2厅 | 89.37平米 | 南 | 精装 | 33层  | 板塔结合,"VR看装修,房本满五年",130,14547
熙和园，好位置3居室，采光好，老证精装,城投熙和园 - 体育中心,3室1厅 | 108.96平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,"VR看装修,房本满两年",338,31021
原筑两室通透户型，目前空置，看房方便。,原筑 - 潮阳大道,2室1厅 | 91.26平米 | 南 北 | 简装 | 低楼层(共11层)  | 板塔结合,"VR看装修,房本满五年",88,9643
正规大三室，户型方正，有阳台，空间大,四平西道 - 南营门街,3室1厅 | 86.13平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年",407,47255
胜利里两室两厅 次顶层 位置好采光好,胜利里 - 大港,2室2厅 | 88.66平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满两年",47,5302
正规大三室，户型方正，有阳台，空间大,四平西道 - 南营门街,3室1厅 | 86.13平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年",407,47255
蓟州区府君里小区，三室中厅户型，格局方正,府君里 - 蓟州城区,3室2厅 | 81.31平米 | 南 北 | 简装 | 中楼层(共5层)  | 板塔结合,"VR看装修,房本满五年",86,10577
一楼带小院 户型方正，出房率高，采光好，交通方便,世纪花园(汉沽区) - 汉沽,3室1厅 | 128.86平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,"VR房源,房本满五年",135,10477
新世纪城 电梯通透户型 过两年 诚心出售,新世纪城 - 友谊路,3室2厅 | 110.82平米 | 南 | 精装 | 高楼层(共12层)  | 板楼,"VR房源,房本满两年",280,25267
宝境檀香  洋房三居 中间楼层  公摊小  视野好 精装修,宝境檀香 - 潮阳大道,3室2厅 | 96.82平米 | 南 | 精装 | 中楼层(共9层)  | 板楼,"VR看装修,房本满两年",145,14977
津尚花园 3室2厅 南,津尚花园 - 张家窝,3室2厅 | 91.52平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,"VR看装修,房本满五年",142,15516
此房采光好，无遮挡，视野充足，业主急售,平安家园 - 翡翠湾,2室2厅 | 91.55平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,"VR看装修,房本满两年",52.5,5735
此房满五唯一没有抵押和贷款 业主诚心出售,荣迁西里 - 学府街,3室1厅 | 84.27平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,"VR看装修,房本满五年",280,33227
此房满五年，南北各一卧室，阳面厅，双卫，诚心出售！,国风星苑一期 - 李七庄,2室2厅 | 104.29平米 | 南 北 东 | 简装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年",259,24835
东丽湖精装两室保持全新，电梯洋房。,观湖苑 - 东丽湖,2室1厅 | 87.12平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,"VR看装修,房本满五年",97,11135
亨通3居 通透双阳户型 带地下室 近城际 家乐超市,亨通花园东区北里 - 佛罗伦萨,3室2厅 | 107.83平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年",166,15395
塘沽区，新河街，南益名士华庭一期,南益名士华庭一期 - 新河街,3室2厅 | 117.56平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,"VR看装修,房本满五年",174,14801
此房视野开阔 公摊小 洋房5层到顶 带家具 随时看房,万科锦庐 - 中新生态城,3室2厅 | 128.29平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,"VR看装修,房本满两年",243,18942
此房含车位，有装修，价格能商量，业主诚心出售。,象博豪庭 - 双港,2室1厅 | 98.34平米 | 南 | 简装 | 高楼层(共24层)  | 板楼,"VR房源,房本满两年",212,21558
满五唯一 大两室  低楼层  南北户型 看房方便,佳园新里 - 双环邨,2室1厅 | 89平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满五年",172,19326
李七庄 商品房 婚房精装 南北通透 全明格局 中楼层,宏城御溪园 - 李七庄,2室1厅 | 87.59平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,"VR看装修,房本满五年",175,19980
三友里 3室1厅 南 北,三友里 - 新兴街,3室1厅 | 90.83平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年",515,56700
